Time|Exchange|Symbol|Bid_Price|Bid_Size|Offer_Price|Offer_Size|Quote_Condition|Sequence_Number|National_BBO_Ind|FINRA_BBO_Indicator|FINRA_ADF_MPID_Indicator|Quote_Cancel_Correction|Source_Of_Quote|Best Bid Quote Condition|Best_Bid_Exchange|Best_Bid_Price|Best_Bid_Size|Best_Bid_FINRA_Market_Maker_ID|Best_Offer_Quote_Condition|Best_Offer_Exchange|Best_Offer_Price|Best_Offer_Size|Best_Offer_FINRA_Market_Maker_ID|LULD_Indicator|LULD_NBBO_Indicator|SIP_Generated_Message_Identifier|Participant_Timestamp|FINRA_ADF_Timestamp|Security_Status_Indicator
035900085993578|K|A|0|0|0|0|R|148|O||||C||K|0|0|||K|0|0|||||035900085690000|| 
035900115296666|Z|A|0|0|0|0|R|309|O||||C||Z|0|0|||Z|0|0|||||035900115023000|| 
040000000453842|H|A|0|0|0|0|R|325|O||||C||H|0|0|||H|0|0|||||040000000001840|| 
040000014161464|P|A|0|0|128.8|1|R|606|G||||C|R|P|0|0||R|P|128.8|1|||||040000014038461|| 
040000064095333|K|A|69|1|0|0|R|1085|U||||C|R|K|69|1||R|P|128.8|1|||||040000062545000|| 
040000064110385|K|A|69|1|119.99|10|R|1086|G||||C|R|K|69|1||R|K|119.99|10|||||040000062545000|| 
040000064120777|K|A|77|1|119.99|10|R|1087|G||||C|R|K|77|1||R|K|119.99|10|||||040000062545000|| 
040000064135483|K|A|91.19|1|119.99|10|R|1088|G||||C|R|K|91.19|1||R|K|119.99|10|||||040000062545000|| 
040000064155427|K|A|95|1|119.99|10|R|1089|G||||C|R|K|95|1||R|K|119.99|10|||||040000062545000|| 
040000064170492|K|A|95.18|1|119.99|10|R|1090|G||||C|R|K|95.18|1||R|K|119.99|10|||||040000062545000|| 
040000064185517|K|A|95.18|1|118.75|5|R|1091|G||||C|R|K|95.18|1||R|K|118.75|5|||||040000062545000|| 
040000064225637|K|A|107.58|1|118.75|5|R|1092|G||||C|R|K|107.58|1||R|K|118.75|5|||||040000062545000|| 
040006298588907|K|A|101.73|1|118.75|5|R|2119|G||||C|R|K|101.73|1||R|K|118.75|5|||||040006298357000|| 
040020392019201|K|A|104.5|1|118.75|5|R|2494|G||||C|R|K|104.5|1||R|K|118.75|5|||||040020391770000|| 
040025876321650|K|A|110.43|1|118.75|5|R|2660|G||||C|R|K|110.43|1||R|K|118.75|5|||||040025876084000|| 
040025876341675|K|A|104.5|1|118.75|5|R|2661|G||||C|R|K|104.5|1||R|K|118.75|5|||||040025876110000|| 
040033537246457|K|A|101.73|1|118.75|5|R|2804|G||||C|R|K|101.73|1||R|K|118.75|5|||||040033537014000|| 
040033576314467|K|A|104.5|1|118.75|5|R|2809|G||||C|R|K|104.5|1||R|K|118.75|5|||||040033576081000|| 
040100918819187|K|A|101.73|1|118.75|5|R|3253|G||||C|R|K|101.73|1||R|K|118.75|5|||||040100918582000|| 
040100944891255|K|A|104.5|1|118.75|5|R|3256|G||||C|R|K|104.5|1||R|K|118.75|5|||||040100944659000|| 
040105944409608|K|A|101.73|1|118.75|5|R|3350|G||||C|R|K|101.73|1||R|K|118.75|5|||||040105944170000|| 
040105970426572|K|A|104.5|1|118.75|5|R|3351|G||||C|R|K|104.5|1||R|K|118.75|5|||||040105970189000|| 
040120700722919|K|A|101.73|1|118.75|5|R|3564|G||||C|R|K|101.73|1||R|K|118.75|5|||||040120700483000|| 
040120742332029|K|A|104.5|1|118.75|5|R|3567|G||||C|R|K|104.5|1||R|K|118.75|5|||||040120742098000|| 
040125741534621|K|A|101.73|1|118.75|5|R|3686|G||||C|R|K|101.73|1||R|K|118.75|5|||||040125741302000|| 
040125767315979|K|A|104.5|1|118.75|5|R|3687|G||||C|R|K|104.5|1||R|K|118.75|5|||||040125767086000|| 
040130766518540|K|A|101.73|1|118.75|5|R|3841|G||||C|R|K|101.73|1||R|K|118.75|5|||||040130766282000|| 
040130791818807|K|A|104.5|1|118.75|5|R|3842|G||||C|R|K|104.5|1||R|K|118.75|5|||||040130791588000|| 
040131636389717|K|A|110.39|1|118.75|5|R|3886|G||||C|R|K|110.39|1||R|K|118.75|5|||||040131636155000|| 
040131636409773|K|A|104.5|1|118.75|5|R|3887|G||||C|R|K|104.5|1||R|K|118.75|5|||||040131636181000|| 
040136636389212|K|A|101.73|1|118.75|5|R|4009|G||||C|R|K|101.73|1||R|K|118.75|5|||||040136636154000|| 
040136662877214|K|A|104.5|1|118.75|5|R|4011|G||||C|R|K|104.5|1||R|K|118.75|5|||||040136662643000|| 
040138177608605|K|A|110.39|1|118.75|5|R|4069|G||||C|R|K|110.39|1||R|K|118.75|5|||||040138177367000|| 
040138177623713|K|A|104.5|1|118.75|5|R|4070|G||||C|R|K|104.5|1||R|K|118.75|5|||||040138177395000|| 
040143177528078|K|A|101.73|1|118.75|5|R|4101|G||||C|R|K|101.73|1||R|K|118.75|5|||||040143177283000|| 
040143203655182|K|A|104.5|1|118.75|5|R|4109|G||||C|R|K|104.5|1||R|K|118.75|5|||||040143203425000|| 
040144875205016|K|A|110.39|1|118.75|5|R|4143|G||||C|R|K|110.39|1||R|K|118.75|5|||||040144874971000|| 
040144875260203|K|A|104.5|1|118.75|5|R|4144|G||||C|R|K|104.5|1||R|K|118.75|5|||||040144875029000|| 
040148320332372|K|A|110.4|1|118.75|5|R|4238|G||||C|R|K|110.4|1||R|K|118.75|5|||||040148320095000|| 
040148320342472|K|A|104.5|1|118.75|5|R|4239|G||||C|R|K|104.5|1||R|K|118.75|5|||||040148320109000|| 
040151462318161|K|A|110.41|1|118.75|5|R|4337|G||||C|R|K|110.41|1||R|K|118.75|5|||||040151462076000|| 
040151462328262|K|A|104.5|1|118.75|5|R|4338|G||||C|R|K|104.5|1||R|K|118.75|5|||||040151462095000|| 
040157547326071|K|A|101.73|1|118.75|5|R|4470|G||||C|R|K|101.73|1||R|K|118.75|5|||||040157547090000|| 
040157576640782|K|A|104.5|1|118.75|5|R|4472|G||||C|R|K|104.5|1||R|K|118.75|5|||||040157576403000|| 
040202575908508|K|A|101.73|1|118.75|5|R|4726|G||||C|R|K|101.73|1||R|K|118.75|5|||||040202575676000|| 
040202601294037|K|A|104.5|1|118.75|5|R|4728|G||||C|R|K|104.5|1||R|K|118.75|5|||||040202601059000|| 
040210325674838|K|A|101.73|1|118.75|5|R|4812|G||||C|R|K|101.73|1||R|K|118.75|5|||||040210325438000|| 
040210368296348|K|A|104.5|1|118.75|5|R|4813|G||||C|R|K|104.5|1||R|K|118.75|5|||||040210368061000|| 
040216690002741|K|A|110.41|1|118.75|5|R|4883|G||||C|R|K|110.41|1||R|K|118.75|5|||||040216689764000|| 
040216690258427|K|A|104.5|1|118.75|5|R|4884|G||||C|R|K|104.5|1||R|K|118.75|5|||||040216690034000|| 
